time,h_pos_x,h_pos_y,h_pos_z,h_rot_x,h_rot_y,h_rot_z,h_rot_w,l_pos_x,l_pos_y,l_pos_z,l_rot_x,l_rot_y,l_rot_z,l_rot_w,r_pos_x,r_pos_y,r_pos_z,r_rot_x,r_rot_y,r_rot_z,r_rot_w,pose_idle,pose_looking_up,pose_looking_down,pose_looking_left,pose_looking_right,pose_head_tilt_left,pose_head_tilt_right,pose_nodding,pose_shaking_no,pose_tilting_side,cybersickness
49,0.017029,1.22393,0.014096,0.117719,0.031501,-0.003813,0.99254,-0.0739,0.856984,0.258898,-0.021289,-0.044652,-0.012855,-0.998693,0.112403,0.846598,0.236283,-0.013374,0.122776,-0.060967,0.99047,0,0,0,0,0,0,0,1,0,0,1
50,0.009064,1.225979,0.015789,0.109918,0.013712,0.004316,0.993837,-0.071875,0.857833,0.257031,-0.019315,-0.049516,-0.014959,-0.998475,0.107558,0.850297,0.23206,-0.025479,0.109432,-0.062732,0.991686,0,0,0,0,0,0,0,1,0,0,1
51,0.008587,1.226197,0.014651,0.107915,0.01094,0.002912,0.994096,-0.06931,0.857783,0.255074,-0.017969,-0.051911,-0.011527,-0.998424,0.106276,0.849062,0.231115,-0.030135,0.104893,-0.052642,0.992632,0,0,0,0,0,0,0,1,0,0,1
52,0.013209,1.226146,0.014641,0.108922,0.018622,-0.002755,0.993872,-0.0671,0.856619,0.254593,-0.018689,-0.052299,-0.010172,-0.998405,0.106372,0.848257,0.2312,-0.032469,0.102286,-0.049716,0.992981,1,0,0,0,0,0,0,0,0,0,0
53,0.007858,1.228592,0.014907,0.100382,0.008288,0.001434,0.994913,-0.067691,0.857138,0.254228,-0.017479,-0.054251,-0.009501,-0.998329,0.104106,0.848096,0.230169,-0.033244,0.099171,-0.046511,0.993427,1,0,0,0,0,0,0,0,0,0,0
54,0.010698,1.227432,0.01445,0.102571,0.011107,-0.005941,0.994646,-0.065141,0.856264,0.25321,-0.018267,-0.057377,-0.0071,-0.99816,0.103715,0.847722,0.229793,-0.03612,0.096533,-0.045559,0.99363,1,0,0,0,0,0,0,0,0,0,0
55,0.011288,1.225907,0.014414,0.10831,0.011841,-0.006106,0.994028,-0.063874,0.855742,0.252436,-0.019778,-0.06031,-0.006852,-0.99796,0.103157,0.847146,0.229056,-0.035264,0.093976,-0.045127,0.993926,1,0,0,0,0,0,0,0,0,0,0
56,0.008899,1.225512,0.015163,0.110729,0.005756,-0.005545,0.993819,-0.063925,0.856114,0.25198,-0.016502,-0.061101,-0.004232,-0.997986,0.10196,0.846805,0.228898,-0.036232,0.092128,-0.042884,0.994163,0,0,0,0,0,0,0,1,0,0,0
57,0.008028,1.226758,0.013711,0.106988,0.004807,-0.004172,0.99424,-0.062714,0.85628,0.250892,-0.016301,-0.063386,-0.003569,-0.99785,0.101586,0.846838,0.228475,-0.036264,0.09172,-0.041343,0.994265,0,0,0,0,0,0,0,1,0,0,0
58,0.008158,1.227157,0.013967,0.105329,0.004872,-0.001494,0.994424,-0.061401,0.856084,0.25068,-0.017511,-0.064842,-0.003296,-0.997737,0.101046,0.846413,0.22806,-0.036663,0.089852,-0.038895,0.99452,0,0,0,0,0,0,0,1,0,0,0
