time,h_pos_x,h_pos_y,h_pos_z,h_rot_x,h_rot_y,h_rot_z,h_rot_w,l_pos_x,l_pos_y,l_pos_z,l_rot_x,l_rot_y,l_rot_z,l_rot_w,r_pos_x,r_pos_y,r_pos_z,r_rot_x,r_rot_y,r_rot_z,r_rot_w,pose_idle,pose_looking_up,pose_looking_down,pose_looking_left,pose_looking_right,pose_head_tilt_left,pose_head_tilt_right,pose_nodding,pose_shaking_no,pose_tilting_side,Cybersickness,
36,0.016221,1.100356,-0.015581,0.004735,-0.072464,0.009285,-0.997317,-0.078651,0.744017,0.318989,0.013081,0.061171,0.050454,-0.996765,0.290603,0.720252,0.254174,-0.053046,0.21642,0.337039,0.914742,1,0,0,0,0,0,0,0,0,0,0,
37,0.003614,1.11321,-0.019241,0.067183,-0.015799,-0.001437,-0.997615,-0.0767,0.744904,0.318279,0.014547,0.058684,0.052381,-0.996795,0.290183,0.721231,0.253657,-0.052795,0.215254,0.338547,0.914475,1,0,0,0,0,0,0,0,0,0,0,
38,-0.012091,1.108095,-0.01459,0.044075,0.061363,0.00109,-0.997141,-0.077678,0.743372,0.320031,0.014332,0.060461,0.051007,-0.996764,0.291136,0.720413,0.253915,-0.050334,0.214248,0.336667,0.915543,1,0,0,0,0,0,0,0,0,0,0,
39,0.000193,1.12131,-0.024064,0.112673,0.0312,0.021869,-0.992901,-0.077818,0.742792,0.319903,0.014506,0.059734,0.053109,-0.996695,0.292116,0.719083,0.254677,-0.052669,0.214982,0.33808,0.914719,1,0,0,0,0,0,0,0,0,0,0,
40,0.008428,1.096918,-0.012675,-0.00727,-0.017684,0.011846,-0.999747,-0.077414,0.743166,0.319913,0.016049,0.059718,0.054737,-0.996584,0.29117,0.71962,0.254848,-0.05267,0.214442,0.338659,0.914631,1,0,0,0,0,0,0,0,0,0,0,
41,0.00431,1.11376,-0.021488,0.070371,0.000561,0.00614,-0.997502,-0.07697,0.742638,0.319725,0.013207,0.058486,0.051206,-0.996887,0.291499,0.720036,0.253708,-0.052935,0.216039,0.336994,0.914855,0,0,0,0,0,0,0,1,0,0,0,
42,0.013036,1.106797,-0.020883,0.033575,-0.041792,0.007263,-0.998536,-0.077005,0.743416,0.319664,0.014318,0.060079,0.050622,-0.996806,0.291118,0.71917,0.253958,-0.056418,0.213126,0.346382,0.911819,0,0,0,0,0,0,0,1,0,0,0,
43,0.01446,1.10816,-0.021259,0.042475,-0.047278,0.006608,-0.997956,-0.076697,0.743706,0.319666,0.015322,0.05913,0.051809,-0.996787,0.290199,0.720208,0.253932,-0.055901,0.213593,0.344967,0.912278,0,0,0,0,0,0,0,1,0,0,0,
44,0.012213,1.12197,-0.0279,0.110349,-0.04141,0.011332,-0.992965,-0.077193,0.743856,0.319429,0.014244,0.059177,0.049667,-0.996909,0.290962,0.719815,0.254336,-0.056746,0.215863,0.341776,0.912892,0,0,0,0,0,0,0,1,0,0,0,
45,0.002963,1.104295,-0.015674,0.019986,0.003657,0.012241,-0.999719,-0.076502,0.744205,0.319753,0.015474,0.058641,0.051496,-0.99683,0.291451,0.719287,0.254658,-0.056475,0.213477,0.344827,0.912323,1,0,0,0,0,0,0,0,0,0,0,
46,0.005602,1.110977,-0.017508,0.05681,-0.011387,0.003441,-0.998314,-0.076581,0.744062,0.319641,0.016477,0.057748,0.051587,-0.996861,0.290748,0.719485,0.254072,-0.057336,0.213797,0.345604,0.9119,0,0,0,0,0,0,0,1,0,0,0,
47,0.004591,1.128817,-0.035704,0.146292,-0.012012,-0.004626,-0.989158,-0.07714,0.744536,0.318884,0.017719,0.057794,0.052142,-0.996809,0.29096,0.718737,0.254302,-0.057619,0.213998,0.345183,0.911994,0,0,0,0,0,0,0,1,0,0,0,
48,0.029261,1.120113,-0.032835,0.10257,-0.149094,-0.019907,-0.983288,-0.077201,0.744358,0.318031,0.017066,0.058211,0.053606,-0.996718,0.29038,0.71868,0.25433,-0.057797,0.213347,0.345047,0.912187,0,0,0,0,0,0,0,1,0,0,0,
49,0.009414,1.103746,-0.017657,0.021041,-0.03532,-0.003354,-0.999149,-0.076866,0.7452,0.318387,0.01947,0.058058,0.053445,-0.996691,0.290365,0.718472,0.254301,-0.057627,0.211699,0.346417,0.912063,0,0,0,0,0,0,0,1,0,0,0,
50,-0.024636,1.120163,-0.026851,0.102845,0.151801,0.013817,-0.982949,-0.07573,0.744948,0.318432,0.020678,0.057853,0.054887,-0.996601,0.29133,0.718624,0.25335,-0.058681,0.211721,0.347714,0.911496,1,0,0,0,0,0,0,0,0,0,0,
51,-0.023119,1.106672,-0.017111,0.036694,0.145061,0.017585,-0.988586,-0.077074,0.745072,0.31847,0.022076,0.058217,0.054744,-0.996557,0.289056,0.718898,0.25365,-0.060068,0.209744,0.352884,0.909875,0,0,0,0,0,0,0,0,1,0,0,
52,-0.00717,1.092324,-0.003928,-0.026409,0.026762,-0.018479,-0.999122,-0.075785,0.746192,0.316957,0.022875,0.056293,0.055758,-0.996594,0.289207,0.719325,0.252801,-0.059365,0.209589,0.352823,0.909981,1,0,0,0,0,0,0,0,0,0,0,
53,-0.001612,1.113078,-0.015014,0.069727,-0.001873,-0.02439,-0.997266,-0.076481,0.745126,0.318191,0.021741,0.057056,0.055235,-0.996605,0.289011,0.719229,0.253164,-0.059896,0.210223,0.35346,0.909552,1,0,0,0,0,0,0,0,0,0,0,
54,-0.011961,1.111132,-0.016048,0.056723,0.058043,-0.009061,-0.99666,-0.076085,0.745571,0.317785,0.022382,0.055977,0.057142,-0.996544,0.289732,0.718123,0.253311,-0.05988,0.208958,0.355366,0.909102,1,0,0,0,0,0,0,0,0,0,0,
55,0.013203,1.113164,-0.022157,0.071204,-0.033459,0.016019,-0.996772,-0.076413,0.74535,0.317668,0.022368,0.056052,0.058537,-0.996459,0.289062,0.717771,0.253972,-0.061395,0.208044,0.357412,0.908408,1,0,0,0,0,0,0,0,0,0,0,
56,0.008263,1.100897,-0.010873,0.012493,-0.011228,0.014416,-0.999755,-0.075942,0.745559,0.317787,0.026969,0.056212,0.062545,-0.996093,0.288215,0.718028,0.253562,-0.063706,0.207205,0.36136,0.906877,1,0,0,0,0,0,0,0,0,0,0,
57,0.013649,1.113019,-0.021069,0.067972,-0.028693,0.020532,-0.997063,-0.075754,0.745112,0.317927,0.026436,0.056224,0.063298,-0.996059,0.289167,0.71792,0.25403,-0.063419,0.208436,0.359336,0.90742,0,0,0,0,0,0,0,1,0,0,0,
