time,h_pos_x,h_pos_y,h_pos_z,h_rot_x,h_rot_y,h_rot_z,h_rot_w,l_pos_x,l_pos_y,l_pos_z,l_rot_x,l_rot_y,l_rot_z,l_rot_w,r_pos_x,r_pos_y,r_pos_z,r_rot_x,r_rot_y,r_rot_z,r_rot_w,pose_idle,pose_looking_up,pose_looking_down,pose_looking_left,pose_looking_right,pose_head_tilt_left,pose_head_tilt_right,pose_nodding,pose_shaking_no,pose_tilting_side,cybersickness
56,-0.010937,1.170598,-0.002832,0.040891,-0.010423,0.071327,0.99656,-0.018819,0.750766,0.294579,-0.043327,-0.068991,0.038238,-0.995942,0.174059,0.752767,0.257875,0.04015,0.135843,0.131553,0.981136,0,0,0,0,0,0,0,0,0,1,0
57,-0.010513,1.170621,-0.002259,0.041595,-0.009366,0.07115,0.996554,-0.018611,0.750942,0.294497,-0.04345,-0.069597,0.038223,-0.995895,0.174036,0.752637,0.257966,0.039975,0.135415,0.132518,0.981073,0,0,0,0,0,0,0,0,0,1,0
58,-0.010068,1.171011,-0.003439,0.041421,-0.008706,0.071471,0.996544,-0.01828,0.750337,0.294137,-0.044796,-0.069684,0.038495,-0.995819,0.173731,0.751819,0.257837,0.041176,0.134645,0.133715,0.980967,0,0,0,0,0,0,0,0,0,1,0
59,-0.011252,1.170171,-0.002996,0.041922,-0.00933,0.073812,0.996347,-0.018922,0.750353,0.294303,-0.044186,-0.069963,0.038295,-0.995835,0.172673,0.751084,0.257698,0.040708,0.133452,0.13655,0.980759,0,0,0,0,0,0,0,0,0,1,0
60,-0.011509,1.170298,-0.00371,0.042268,-0.008953,0.074662,0.996272,-0.018379,0.750582,0.293709,-0.043649,-0.070456,0.038821,-0.995803,0.172648,0.751002,0.257325,0.040191,0.132887,0.1374,0.980738,0,0,0,0,0,0,0,0,0,1,0
61,-0.012826,1.169537,-0.002941,0.044433,-0.011795,0.076771,0.995988,-0.01849,0.750288,0.293719,-0.044738,-0.07063,0.038552,-0.995753,0.172392,0.750737,0.257317,0.042031,0.131827,0.13728,0.980821,0,0,0,0,0,0,0,0,0,1,0
62,-0.012535,1.169122,-0.001769,0.046331,-0.011557,0.075718,0.995985,-0.018534,0.750465,0.293957,-0.04461,-0.070713,0.038406,-0.995758,0.171876,0.75053,0.257372,0.042519,0.130827,0.140025,0.980546,0,0,0,0,0,0,0,0,0,1,0
63,-0.012081,1.168896,-0.001684,0.046958,-0.011117,0.075624,0.995968,-0.018353,0.750682,0.293831,-0.044467,-0.07153,0.038625,-0.995698,0.171284,0.750362,0.257148,0.041737,0.129497,0.142216,0.98044,0,0,0,0,0,0,0,0,0,1,0
64,-0.012637,1.168251,-0.001483,0.047839,-0.012047,0.076228,0.995869,-0.018232,0.750662,0.29367,-0.044155,-0.071768,0.038863,-0.995686,0.170643,0.749266,0.257035,0.043414,0.126427,0.144912,0.980373,0,0,0,0,0,0,0,0,0,1,0
65,-0.01251,1.168051,-0.001623,0.049429,-0.012114,0.07655,0.995766,-0.018026,0.74993,0.293551,-0.045968,-0.071824,0.038892,-0.995598,0.170401,0.74887,0.257113,0.044768,0.125527,0.144213,0.980531,0,0,0,0,0,0,0,0,0,1,0
