time,h_pos_x,h_pos_y,h_pos_z,h_rot_x,h_rot_y,h_rot_z,h_rot_w,l_pos_x,l_pos_y,l_pos_z,l_rot_x,l_rot_y,l_rot_z,l_rot_w,r_pos_x,r_pos_y,r_pos_z,r_rot_x,r_rot_y,r_rot_z,r_rot_w,pose_idle,pose_looking_up,pose_looking_down,pose_looking_left,pose_looking_right,pose_head_tilt_left,pose_head_tilt_right,pose_nodding,pose_shaking_no,pose_tilting_side,Cybersickness,Comments
54,-0.034666,1.218168,-0.01169,-0.143805,-0.002146,0.071945,0.986985,-0.105172,0.880995,0.394717,-0.076214,-0.06641,-0.0895,0.990844,0.031212,0.875443,0.395957,-0.08122,0.028181,0.182145,0.979506,0,1,0,0,0,0,0,0,0,0,0,
55,-0.035196,1.216945,-0.010043,-0.138941,-0.003008,0.073519,0.987563,-0.10521,0.881133,0.394512,-0.077038,-0.067231,-0.08882,0.990786,0.031474,0.874545,0.397025,-0.08164,0.028825,0.182038,0.979472,0,1,0,0,0,0,0,0,0,0,0,
56,-0.03614,1.215995,-0.009128,-0.13419,-0.004968,0.074111,0.988168,-0.105226,0.881232,0.394282,-0.077203,-0.067078,-0.089081,0.99076,0.03132,0.874455,0.396726,-0.081745,0.029013,0.182471,0.979377,0,1,0,0,0,0,0,0,0,0,0,
57,-0.03339,1.218084,-0.010972,-0.140345,-9.10E-05,0.069132,0.987686,-0.104867,0.881183,0.394515,-0.076239,-0.066442,-0.090938,0.990709,0.030952,0.874761,0.397068,-0.080537,0.028195,0.18348,0.979313,0,1,0,0,0,0,0,0,0,0,0,
58,-0.031357,1.216588,-0.009721,-0.134027,0.005799,0.064896,0.988834,-0.104952,0.881106,0.39462,-0.075972,-0.066688,-0.090379,0.990764,0.03113,0.874722,0.396819,-0.080014,0.028557,0.183294,0.97938,0,1,0,0,0,0,0,0,0,0,0,
59,-0.022765,1.220247,-0.01051,-0.149187,0.057521,0.073537,0.984392,-0.105184,0.881169,0.394601,-0.076903,-0.067247,-0.089475,0.990736,0.031191,0.875479,0.396002,-0.080414,0.029708,0.183184,0.979334,0,1,0,0,0,0,0,0,0,0,0,
60,-0.02994,1.21636,-0.009664,-0.132357,0.028012,0.074622,0.987992,-0.105122,0.881004,0.39431,-0.076027,-0.066574,-0.090089,0.990794,0.030346,0.874757,0.396063,-0.079466,0.028327,0.18607,0.978908,0,1,0,0,0,0,0,0,0,0,0,
61,-0.02745,1.206824,-0.000988,-0.084828,0.025226,0.067066,0.993816,-0.105175,0.88147,0.394806,-0.076157,-0.067612,-0.08973,0.990746,0.031148,0.874966,0.396996,-0.079952,0.030042,0.183492,0.979304,0,0,0,0,0,0,0,1,0,0,0,
62,-0.026972,1.209207,-0.001645,-0.096649,0.028255,0.068032,0.992589,-0.105642,0.881358,0.395044,-0.076163,-0.067795,-0.08974,0.990732,0.030823,0.874911,0.397096,-0.079495,0.030215,0.183271,0.979377,0,0,0,0,0,0,0,1,0,0,0,
63,-0.025743,1.211217,-0.004633,-0.105664,0.034614,0.072869,0.991124,-0.104712,0.880954,0.394885,-0.075057,-0.066748,-0.091029,0.99077,0.03084,0.874295,0.39744,-0.078044,0.028928,0.185869,0.979043,1,0,0,0,0,0,0,0,0,0,0,
64,-0.026139,1.210097,-0.003966,-0.102254,0.037791,0.074001,0.991282,-0.104925,0.881425,0.394277,-0.076172,-0.067616,-0.089843,0.990734,0.030965,0.874257,0.397262,-0.078469,0.030438,0.185028,0.979123,0,0,0,0,0,0,0,1,0,0,0,
65,-0.028465,1.210858,-0.003518,-0.105422,0.027825,0.073399,0.991325,-0.105343,0.881257,0.394803,-0.076396,-0.068101,-0.089791,0.990688,0.03081,0.874875,0.396908,-0.07878,0.031004,0.184668,0.979148,0,0,0,0,0,0,0,1,0,0,0,
66,-0.029411,1.211213,-0.004361,-0.109422,0.025614,0.075027,0.990829,-0.105278,0.881107,0.39513,-0.076451,-0.068216,-0.08972,0.990683,0.030825,0.875069,0.396823,-0.078614,0.031273,0.184623,0.979161,1,0,0,0,0,0,0,0,0,0,0,
67,-0.029278,1.212123,-0.006189,-0.111291,0.025149,0.075091,0.990628,-0.104863,0.881048,0.394506,-0.075054,-0.066914,-0.091775,0.99069,0.030482,0.874329,0.397024,-0.077177,0.029605,0.186806,0.978913,1,0,0,0,0,0,0,0,0,0,0,
68,-0.029453,1.211474,-0.004784,-0.110172,0.023842,0.075101,0.990784,-0.10498,0.881255,0.394404,-0.076003,-0.067988,-0.090844,0.99063,0.030629,0.874503,0.396913,-0.078019,0.031233,0.185612,0.979023,1,0,0,0,0,0,0,0,0,0,0,
69,-0.030485,1.211326,-0.004799,-0.110891,0.022203,0.076194,0.990659,-0.105151,0.88119,0.394494,-0.076204,-0.068099,-0.090552,0.990634,0.030706,0.87512,0.396314,-0.077956,0.031842,0.185404,0.979048,1,0,0,0,0,0,0,0,0,0,0,
70,-0.030761,1.211115,-0.004896,-0.110016,0.020734,0.075492,0.990842,-0.105285,0.881151,0.394257,-0.07619,-0.068238,-0.090468,0.990633,0.030549,0.87484,0.396165,-0.077912,0.032041,0.185531,0.979021,1,0,0,0,0,0,0,0,0,0,0,
71,-0.030528,1.211285,-0.005381,-0.108329,0.020006,0.074538,0.991115,-0.104741,0.881155,0.394089,-0.075189,-0.067238,-0.092372,0.990602,0.030357,0.874739,0.396549,-0.076971,0.030769,0.187331,0.978793,0,0,0,0,0,0,0,1,0,0,0,
72,-0.030891,1.209833,-0.003476,-0.10371,0.018367,0.074592,0.991636,-0.104833,0.881405,0.39402,-0.076395,-0.068384,-0.091135,0.990546,0.030719,0.87433,0.397011,-0.077645,0.032432,0.186802,0.978787,0,0,0,0,0,0,0,1,0,0,0,
