time,h_pos_x,h_pos_y,h_pos_z,h_rot_x,h_rot_y,h_rot_z,h_rot_w,l_pos_x,l_pos_y,l_pos_z,l_rot_x,l_rot_y,l_rot_z,l_rot_w,r_pos_x,r_pos_y,r_pos_z,r_rot_x,r_rot_y,r_rot_z,r_rot_w,pose_idle,pose_looking_up,pose_looking_down,pose_looking_left,pose_looking_right,pose_head_tilt_left,pose_head_tilt_right,pose_nodding,pose_shaking_no,pose_tilting_side,cybersickness
37,0.015271,1.210615,-0.022097,0.038042,-0.047214,-0.035344,0.997534,-0.182519,0.725542,0.231475,-0.189571,0.155598,-0.113974,-0.962737,0.091096,0.781313,0.26961,0.009438,0.054669,0.074411,0.995683,1,0,0,0,0,0,0,0,0,0,0
38,0.014526,1.210755,-0.022212,0.037854,-0.049349,-0.033767,0.997493,-0.182918,0.724531,0.231743,-0.189861,0.155854,-0.114066,-0.962628,0.091223,0.781655,0.269602,0.010009,0.05437,0.074205,0.99571,1,0,0,0,0,0,0,0,0,0,0
39,0.015473,1.210767,-0.021793,0.036782,-0.048018,-0.036474,0.997502,-0.183162,0.724693,0.231944,-0.189779,0.156081,-0.113971,-0.962618,0.091428,0.781292,0.269779,0.01062,0.055155,0.071702,0.995843,1,0,0,0,0,0,0,0,0,0,0
40,0.015822,1.210203,-0.021397,0.038702,-0.04774,-0.036144,0.997455,-0.18323,0.724783,0.231679,-0.189273,0.156119,-0.113909,-0.962719,0.091645,0.781252,0.269546,0.011442,0.055657,0.070714,0.995877,1,0,0,0,0,0,0,0,0,0,0
41,0.014359,1.210531,-0.022089,0.038063,-0.048925,-0.034601,0.997477,-0.182965,0.724498,0.231773,-0.190696,0.155557,-0.11432,-0.96248,0.091096,0.78143,0.269824,0.012539,0.054542,0.073718,0.995708,1,0,0,0,0,0,0,0,0,0,0
42,0.015005,1.210627,-0.021684,0.038001,-0.048312,-0.034405,0.997516,-0.183119,0.724599,0.231988,-0.189622,0.155853,-0.114031,-0.962679,0.091774,0.781091,0.270006,0.012458,0.05551,0.070472,0.99589,1,0,0,0,0,0,0,0,0,0,0
43,0.017014,1.208673,-0.020417,0.046,-0.052077,-0.058735,0.995852,-0.18319,0.725072,0.231561,-0.189383,0.155808,-0.114225,-0.96271,0.092034,0.780904,0.269814,0.012792,0.055992,0.068458,0.995999,1,0,0,0,0,0,0,0,0,0,0
44,0.015644,1.210212,-0.020961,0.041544,-0.054436,-0.050186,0.99639,-0.182815,0.724601,0.23195,-0.19052,0.155636,-0.114214,-0.962515,0.092115,0.781437,0.270034,0.013247,0.055491,0.069818,0.995927,1,0,0,0,0,0,0,0,0,0,0
45,0.015122,1.210217,-0.021208,0.040715,-0.055183,-0.048395,0.996471,-0.182769,0.72495,0.231464,-0.190251,0.15554,-0.11394,-0.962616,0.091707,0.781009,0.26996,0.012623,0.055319,0.071625,0.995817,1,0,0,0,0,0,0,0,0,0,0
46,0.015583,1.210617,-0.021606,0.038384,-0.054489,-0.047947,0.996624,-0.183034,0.725104,0.231788,-0.189507,0.155984,-0.1136,-0.962731,0.092371,0.780914,0.270313,0.012556,0.05622,0.068692,0.995973,1,0,0,0,0,0,0,0,0,0,0
47,0.013957,1.210321,-0.022047,0.038474,-0.056174,-0.046176,0.99661,-0.182646,0.724589,0.231592,-0.191081,0.155407,-0.11395,-0.962472,0.091693,0.780628,0.27027,0.013387,0.054936,0.070613,0.9959,1,0,0,0,0,0,0,0,0,0,0
48,0.015454,1.210454,-0.021248,0.037892,-0.054671,-0.04817,0.996622,-0.182961,0.724768,0.232125,-0.190051,0.15585,-0.113329,-0.962678,0.092289,0.780978,0.270183,0.01298,0.055988,0.067174,0.996085,1,0,0,0,0,0,0,0,0,0,0
49,0.015783,1.210816,-0.022044,0.03661,-0.054442,-0.048,0.99669,-0.182608,0.725688,0.231327,-0.189717,0.155817,-0.112933,-0.962795,0.091958,0.781112,0.269706,0.012521,0.055714,0.070462,0.995879,1,0,0,0,0,0,0,0,0,0,0
50,0.014721,1.210454,-0.021948,0.038688,-0.055455,-0.047174,0.996595,-0.182317,0.72505,0.231388,-0.190914,0.155389,-0.11331,-0.962583,0.090967,0.781473,0.269629,0.011196,0.053397,0.075321,0.995666,1,0,0,0,0,0,0,0,0,0,1
51,0.015235,1.210605,-0.021167,0.038162,-0.055059,-0.047413,0.996626,-0.182431,0.725172,0.231809,-0.189982,0.155623,-0.112955,-0.962772,0.091914,0.781469,0.26965,0.011006,0.054726,0.070797,0.995928,1,0,0,0,0,0,0,0,0,0,1
52,0.015857,1.210331,-0.021337,0.038492,-0.053889,-0.047762,0.996661,-0.18252,0.725472,0.231646,-0.189696,0.155789,-0.112691,-0.962832,0.092137,0.781329,0.269646,0.010931,0.055124,0.069256,0.996015,1,0,0,0,0,0,0,0,0,0,0
53,0.014092,1.209603,-0.021273,0.040956,-0.056731,-0.045601,0.996506,-0.182453,0.72483,0.231816,-0.191036,0.155553,-0.113076,-0.96256,0.091453,0.780829,0.270103,0.011862,0.053792,0.071572,0.995913,1,0,0,0,0,0,0,0,0,0,0
54,0.014699,1.209629,-0.020744,0.041521,-0.055895,-0.046011,0.996511,-0.182919,0.724948,0.232151,-0.190066,0.155986,-0.11268,-0.962729,0.09197,0.781256,0.270116,0.011261,0.054783,0.069629,0.996004,1,0,0,0,0,0,0,0,0,0,0
55,0.017863,1.189023,-0.009331,0.148185,-0.06654,-0.080476,0.983432,-0.183919,0.725829,0.230926,-0.190836,0.160132,-0.114798,-0.961645,0.185692,1.129826,0.089055,-0.426346,-0.011852,-0.312115,0.848925,1,0,0,0,0,0,0,0,0,0,0
56,0.025706,1.173339,0.003199,0.201329,-0.073949,-0.179173,0.960154,-0.184424,0.726477,0.232204,-0.190769,0.156591,-0.119628,-0.961652,0.167023,1.219243,-0.029618,-0.623427,-0.169576,-0.270067,0.713896,1,0,0,0,0,0,0,0,0,0,0
57,0.027201,1.193905,-0.007038,0.116081,-0.080175,-0.159429,0.977077,-0.185521,0.72651,0.231623,-0.189414,0.158217,-0.119766,-0.961637,0.195943,1.212395,-0.047493,-0.650063,-0.101602,-0.309344,0.686587,1,0,0,0,0,0,0,0,0,0,0
58,0.030463,1.219123,-0.027636,-0.00979,-0.017203,-0.081956,0.996439,-0.183636,0.727055,0.231321,-0.190463,0.160026,-0.115565,-0.961645,0.045285,0.827187,0.258833,0.061559,-0.04301,-0.031897,0.996666,1,0,0,0,0,0,0,0,0,0,0
59,0.022514,1.214073,-0.022495,0.015361,-0.05388,-0.075993,0.995533,-0.182657,0.728552,0.22977,-0.189613,0.158444,-0.115006,-0.962141,0.05079,0.804613,0.253277,0.009,-0.034871,-0.04889,0.998155,1,0,0,0,0,0,0,0,0,0,0
60,0.018347,1.212687,-0.022483,0.022833,-0.06107,-0.064563,0.995782,-0.183214,0.726842,0.230595,-0.189308,0.157088,-0.114523,-0.962481,0.050128,0.800296,0.254919,0.002866,-0.028829,-0.0343,0.998992,0,0,0,0,0,0,0,0,0,1,0
61,0.017622,1.209874,-0.019179,0.034878,-0.063319,-0.06468,0.995284,-0.183389,0.726012,0.231175,-0.189185,0.157151,-0.114032,-0.962553,0.050466,0.799645,0.255278,0.004274,-0.0316,-0.03833,0.998756,1,0,0,0,0,0,0,0,0,0,0
62,0.018854,1.210433,-0.019281,0.033043,-0.062737,-0.065791,0.995311,-0.183151,0.725607,0.231493,-0.18932,0.156722,-0.113465,-0.962664,0.051027,0.800146,0.255098,0.002411,-0.030622,-0.039044,0.998765,1,0,0,0,0,0,0,0,0,0,0
63,0.017585,1.209564,-0.018932,0.035459,-0.062764,-0.064801,0.995291,-0.183003,0.725426,0.231533,-0.189908,0.155746,-0.113991,-0.962645,0.050371,0.800078,0.255155,0.002803,-0.031225,-0.037496,0.998805,1,0,0,0,0,0,0,0,0,0,0
64,0.017661,1.209629,-0.019173,0.035662,-0.063481,-0.064094,0.995284,-0.183282,0.725531,0.231432,-0.189125,0.15616,-0.113696,-0.962766,0.050618,0.800098,0.254587,0.000768,-0.030664,-0.037747,0.998816,1,0,0,0,0,0,0,0,0,0,0
65,0.016901,1.212301,-0.023382,0.029105,-0.065299,-0.06441,0.995359,-0.183435,0.725027,0.231178,-0.191796,0.157645,-0.115022,-0.961838,0.046319,0.800813,0.253099,0.000848,-0.034917,-0.005235,0.999376,1,0,0,0,0,0,0,0,0,0,0
66,0.013317,1.210246,-0.0206,0.038666,-0.07096,-0.05636,0.995135,-0.183672,0.725595,0.231003,-0.190535,0.156376,-0.115344,-0.962257,0.047421,0.799316,0.25477,0.009817,-0.04493,-0.025198,0.998624,1,0,0,0,0,0,0,0,0,0,0
67,0.010751,1.208259,-0.018801,0.045527,-0.07646,-0.051458,0.994703,-0.183634,0.725849,0.230645,-0.190198,0.1543,-0.114554,-0.962753,0.050009,0.799398,0.254738,0.004582,-0.041185,-0.035699,0.998503,1,0,0,0,0,0,0,0,0,0,0
68,0.011792,1.208244,-0.018759,0.047632,-0.076416,-0.0529,0.994532,-0.182807,0.725255,0.230594,-0.192294,0.153695,-0.114082,-0.96249,0.049925,0.799659,0.25488,0.005276,-0.040674,-0.033228,0.998606,1,0,0,0,0,0,0,0,0,0,0
69,0.0099,1.208089,-0.021187,0.050241,-0.078314,-0.049881,0.994412,-0.182571,0.72485,0.230765,-0.193684,0.154286,-0.114042,-0.962121,0.050011,0.799286,0.256633,0.015182,-0.044295,-0.038472,0.998162,1,0,0,0,0,0,0,0,0,0,1
70,0.009336,1.208511,-0.019514,0.049958,-0.077974,-0.048097,0.994541,-0.182733,0.724971,0.230961,-0.190792,0.15327,-0.113146,-0.962967,0.050863,0.799374,0.255881,0.011479,-0.043165,-0.042496,0.998098,1,0,0,0,0,0,0,0,0,0,1
71,0.009629,1.207674,-0.018396,0.051608,-0.077797,-0.048814,0.994435,-0.182947,0.725253,0.2311,-0.189898,0.15366,-0.112698,-0.963134,0.051227,0.799302,0.255616,0.009685,-0.042049,-0.04467,0.99807,0,0,0,0,0,0,0,0,1,0,1
72,0.009467,1.207304,-0.017366,0.052985,-0.077955,-0.048698,0.994356,-0.182699,0.725579,0.230938,-0.189409,0.153805,-0.112582,-0.96322,0.051674,0.799083,0.255814,0.009982,-0.042171,-0.046856,0.997961,0,0,0,0,0,0,0,0,1,0,1
73,0.009468,1.207087,-0.01725,0.05341,-0.078906,-0.048698,0.994258,-0.182736,0.725444,0.231161,-0.18947,0.153983,-0.11235,-0.963207,0.051577,0.799325,0.255713,0.009631,-0.042062,-0.046586,0.997982,0,0,0,0,0,0,0,0,1,0,1
74,0.010376,1.207167,-0.017587,0.053953,-0.07795,-0.050775,0.994201,-0.182229,0.725484,0.230813,-0.189755,0.153561,-0.111477,-0.96332,0.051597,0.799187,0.255504,0.009965,-0.042438,-0.047701,0.99791,0,0,0,0,0,0,0,0,1,0,1
75,0.009478,1.207093,-0.017333,0.054355,-0.080781,-0.049637,0.99401,-0.182137,0.725148,0.231016,-0.189887,0.15378,-0.111259,-0.963284,0.05161,0.799466,0.255597,0.010195,-0.043215,-0.047984,0.997861,0,0,0,0,0,0,0,0,1,0,1
76,0.010085,1.207486,-0.016821,0.053415,-0.080378,-0.050977,0.994026,-0.181967,0.725636,0.230743,-0.189452,0.154894,-0.110996,-0.963222,0.052182,0.799249,0.2557,0.009644,-0.042687,-0.049691,0.997805,0,0,0,0,0,0,0,0,1,0,1
77,0.010461,1.20716,-0.016831,0.052714,-0.080748,-0.051608,0.994001,-0.182549,0.725041,0.23102,-0.188808,0.155974,-0.110242,-0.96326,0.052179,0.799592,0.255661,0.009542,-0.042718,-0.050883,0.997745,0,0,0,0,0,0,0,0,1,0,1
78,0.010562,1.207167,-0.017153,0.052133,-0.080095,-0.051911,0.994069,-0.182246,0.724576,0.231095,-0.189732,0.155688,-0.11046,-0.9631,0.051926,0.799366,0.255886,0.010012,-0.043471,-0.049506,0.997777,0,0,0,0,0,0,0,0,1,0,1
79,0.010316,1.207755,-0.017173,0.05074,-0.080917,-0.050541,0.994145,-0.18235,0.725041,0.231019,-0.188922,0.156134,-0.110311,-0.963204,0.052385,0.799297,0.255703,0.009706,-0.042999,-0.050927,0.997729,0,0,0,0,0,0,0,0,1,0,1
80,0.01003,1.20763,-0.01746,0.050431,-0.081115,-0.050575,0.994142,-0.182695,0.725244,0.231033,-0.188852,0.156675,-0.110332,-0.963128,0.052191,0.799282,0.255708,0.009835,-0.042716,-0.051044,0.997734,0,0,0,0,0,0,0,0,1,0,1
81,0.010345,1.207503,-0.017379,0.050792,-0.080961,-0.050439,0.994144,-0.182361,0.724942,0.231006,-0.188874,0.156056,-0.110035,-0.963258,0.052348,0.799111,0.255642,0.009652,-0.042586,-0.051252,0.997731,0,0,0,0,0,0,0,0,1,0,1
82,0.010127,1.207767,-0.017617,0.050282,-0.080918,-0.050755,0.994157,-0.182014,0.724894,0.230745,-0.189737,0.155694,-0.110101,-0.963139,0.052148,0.799281,0.255638,0.009946,-0.043531,-0.050972,0.997701,0,0,0,0,0,0,0,0,1,0,1
83,0.009284,1.208754,-0.018547,0.047289,-0.082581,-0.049623,0.994224,-0.182135,0.724865,0.231065,-0.190233,0.155715,-0.110368,-0.963008,0.051685,0.799528,0.255908,0.010446,-0.044656,-0.049593,0.997716,1,0,0,0,0,0,0,0,0,0,0
84,0.010005,1.208394,-0.018922,0.046385,-0.081734,-0.049402,0.994348,-0.182263,0.724901,0.231084,-0.189246,0.156191,-0.109937,-0.963174,0.050167,0.79921,0.254895,0.005701,-0.045495,-0.038398,0.99821,1,0,0,0,0,0,0,0,0,0,0
85,0.009921,1.208558,-0.018659,0.046891,-0.081632,-0.048815,0.994361,-0.181916,0.726035,0.230355,-0.188873,0.156226,-0.109897,-0.963246,0.050866,0.798741,0.255325,0.008584,-0.044079,-0.041443,0.998131,1,0,0,0,0,0,0,0,0,0,1
86,0.009757,1.20823,-0.018682,0.048027,-0.08067,-0.050557,0.994299,-0.182108,0.72557,0.230556,-0.189917,0.156383,-0.111216,-0.962864,0.051354,0.799228,0.255658,0.009905,-0.044064,-0.044564,0.997985,1,0,0,0,0,0,0,0,0,0,0
87,0.009547,1.20831,-0.018544,0.047048,-0.081691,-0.050733,0.994253,-0.182393,0.724837,0.230734,-0.190042,0.156251,-0.111203,-0.962862,0.051595,0.799203,0.255611,0.01058,-0.044666,-0.048019,0.997791,0,0,0,0,0,0,0,0,1,0,0
88,0.009417,1.207895,-0.018531,0.048059,-0.081968,-0.048911,0.994273,-0.182571,0.724938,0.23056,-0.18874,0.1571,-0.110616,-0.963048,0.052416,0.79915,0.25526,0.010557,-0.043962,-0.051196,0.997665,0,0,0,0,0,0,0,0,1,0,0
89,0.010111,1.207938,-0.018029,0.048723,-0.080737,-0.049715,0.994302,-0.18234,0.724945,0.230745,-0.188913,0.156698,-0.109849,-0.963167,0.052664,0.799406,0.255499,0.010664,-0.044261,-0.051803,0.997619,0,0,0,0,0,0,0,0,1,0,0
90,0.009876,1.207747,-0.017674,0.04941,-0.079869,-0.050602,0.994293,-0.181942,0.724704,0.230963,-0.18974,0.1559,-0.109616,-0.963161,0.05196,0.799195,0.255989,0.011079,-0.045584,-0.050965,0.997598,0,0,0,0,0,0,0,0,1,0,0
91,0.009904,1.207826,-0.017405,0.048961,-0.080087,-0.049121,0.994372,-0.181838,0.724517,0.231321,-0.189039,0.155973,-0.109017,-0.963355,0.052526,0.799034,0.255902,0.010921,-0.044698,-0.052622,0.997554,0,0,0,0,0,0,0,0,1,0,0
92,0.009836,1.207991,-0.017655,0.048617,-0.080192,-0.049309,0.994371,-0.182154,0.724352,0.231102,-0.189085,0.156002,-0.108953,-0.963348,0.052435,0.799046,0.255931,0.010496,-0.043957,-0.051437,0.997653,0,0,0,0,0,0,0,0,1,0,0
93,0.00928,1.208107,-0.017952,0.048914,-0.080915,-0.049339,0.994297,-0.18181,0.724233,0.230975,-0.190171,0.155413,-0.109099,-0.963213,0.051815,0.799227,0.255805,0.010645,-0.044932,-0.049723,0.997695,0,0,0,0,0,0,0,0,1,0,0
94,0.009713,1.208111,-0.017687,0.047817,-0.080413,-0.048795,0.994418,-0.181809,0.724754,0.230974,-0.189167,0.155758,-0.109048,-0.963361,0.052551,0.799204,0.255878,0.010995,-0.044177,-0.052515,0.997582,0,0,0,0,0,0,0,0,1,0,0
