time,h_pos_x,h_pos_y,h_pos_z,h_rot_x,h_rot_y,h_rot_z,h_rot_w,l_pos_x,l_pos_y,l_pos_z,l_rot_x,l_rot_y,l_rot_z,l_rot_w,r_pos_x,r_pos_y,r_pos_z,r_rot_x,r_rot_y,r_rot_z,r_rot_w,pose_idle,pose_looking_up,pose_looking_down,pose_looking_left,pose_looking_right,pose_head_tilt_left,pose_head_tilt_right,pose_nodding,pose_shaking_no,pose_tilting_side,Cybersickness,Comments
35,-0.009372,1.120012,-0.025018,0.11849,0.030276,0.027801,-0.992104,-0.031814,0.669886,0.209232,0.239916,0.05579,0.042421,0.96826,0.135606,0.680523,0.161214,0.198379,0.037323,-0.064701,0.977275,0,0,0,0,0,0,0,1,0,0,0,No symptoms
36,-0.00757,1.120618,-0.026758,0.120486,0.026955,0.030225,-0.991889,-0.032012,0.670374,0.208588,0.239351,0.055484,0.041646,0.968452,0.136366,0.681282,0.16068,0.196602,0.037653,-0.062753,0.977748,1,0,0,0,0,0,0,0,0,0,0,No symptoms
37,-0.009481,1.119342,-0.025452,0.115117,0.031321,0.028309,-0.992454,-0.030958,0.670442,0.207779,0.239994,0.057192,0.040805,0.968229,0.136018,0.681535,0.160592,0.197863,0.036784,-0.060484,0.97767,1,0,0,0,0,0,0,0,0,0,0,No symptoms
38,-0.010447,1.118944,-0.024972,0.112743,0.034184,0.028353,-0.992631,-0.031401,0.67116,0.208124,0.239767,0.056946,0.041193,0.968283,0.135994,0.680654,0.160707,0.198286,0.036222,-0.060031,0.977633,1,0,0,0,0,0,0,0,0,0,0,No symptoms
39,-0.007172,1.118242,-0.024426,0.110723,0.027876,0.031939,-0.992947,-0.03079,0.669836,0.208441,0.243112,0.057393,0.041214,0.967421,0.135112,0.680154,0.161038,0.20118,0.034646,-0.061677,0.976997,1,0,0,0,0,0,0,0,0,0,0,No symptoms
40,-0.008161,1.115309,-0.021186,0.097111,0.030457,0.033268,-0.994251,-0.030964,0.670279,0.208107,0.242123,0.057284,0.040426,0.967709,0.135514,0.680958,0.160742,0.197147,0.035556,-0.058167,0.978001,0,0,0,0,0,0,0,1,0,0,0,No symptoms
41,-0.008524,1.117532,-0.023632,0.105997,0.03097,0.032211,-0.993362,-0.030825,0.66992,0.208288,0.242099,0.057258,0.040056,0.967732,0.135761,0.68082,0.160657,0.197321,0.035327,-0.05672,0.978059,0,0,0,0,0,0,0,1,0,0,0,No symptoms
42,-0.006339,1.117102,-0.023175,0.103396,0.026334,0.036196,-0.993633,-0.030537,0.670009,0.207899,0.2433,0.057373,0.040015,0.967426,0.135688,0.680581,0.160565,0.198121,0.034065,-0.056279,0.977967,0,0,0,0,0,0,0,1,0,0,0,No symptoms
43,-0.005408,1.11605,-0.022535,0.100719,0.022906,0.033757,-0.994078,-0.029858,0.669439,0.207609,0.245112,0.05847,0.039382,0.966928,0.134968,0.679508,0.160368,0.200266,0.032154,-0.056745,0.977568,0,0,0,0,0,0,0,1,0,0,0,No symptoms
44,-0.008997,1.118561,-0.024107,0.108506,0.028807,0.027151,-0.993307,-0.030228,0.66915,0.20784,0.245492,0.058013,0.039134,0.96687,0.134761,0.679435,0.1605,0.19995,0.031716,-0.056957,0.977635,0,0,0,0,0,0,0,1,0,0,0,No symptoms
45,-0.008106,1.115551,-0.022007,0.098226,0.027559,0.030825,-0.994305,-0.030448,0.669109,0.207576,0.244732,0.05794,0.039003,0.967072,0.134644,0.679619,0.159975,0.199678,0.030908,-0.055288,0.977812,0,0,0,0,0,0,0,1,0,0,0,No symptoms
46,-0.007785,1.11614,-0.022,0.099277,0.027342,0.030996,-0.994201,-0.030315,0.671156,0.20728,0.24546,0.057953,0.038885,0.966891,0.134633,0.679771,0.160362,0.199179,0.030226,-0.054884,0.977958,0,0,0,0,0,0,0,1,0,0,0,No symptoms
47,-0.008014,1.116921,-0.023104,0.102012,0.027988,0.029998,-0.993937,-0.03051,0.671797,0.20705,0.246308,0.057832,0.038988,0.966679,0.134709,0.67964,0.160448,0.199388,0.029918,-0.05482,0.977928,0,0,0,0,0,0,0,1,0,0,0,No symptoms
48,-0.007793,1.116662,-0.023157,0.100723,0.027128,0.02919,-0.994116,-0.030035,0.671595,0.206963,0.246894,0.058269,0.038483,0.966523,0.13425,0.679182,0.160074,0.200853,0.027832,-0.054208,0.977724,0,0,0,0,0,0,0,1,0,0,0,No symptoms
49,-0.008487,1.117155,-0.024103,0.103923,0.028187,0.027257,-0.993812,-0.030259,0.670484,0.207747,0.252577,0.057499,0.041638,0.964969,0.133477,0.678435,0.160405,0.203299,0.027109,-0.054514,0.977222,0,0,0,0,0,0,0,1,0,0,0,No symptoms
50,-0.00861,1.117818,-0.024764,0.105613,0.029012,0.029064,-0.993559,-0.030215,0.67072,0.207387,0.25039,0.058181,0.037878,0.965653,0.130428,0.677292,0.158962,0.208059,0.01057,-0.04658,0.976949,0,0,0,0,0,0,0,1,0,0,0,No symptoms
51,-0.00811,1.118176,-0.025853,0.107987,0.028876,0.02948,-0.993296,-0.029908,0.670575,0.206959,0.251137,0.05822,0.037433,0.965474,0.130295,0.677416,0.158687,0.207861,0.009141,-0.046739,0.976998,0,0,0,0,0,0,0,1,0,0,0,No symptoms
52,-0.007731,1.117671,-0.024868,0.106074,0.027821,0.029899,-0.993519,-0.029536,0.670937,0.206919,0.251797,0.058837,0.0356,0.965334,0.129981,0.67782,0.158813,0.208254,0.008282,-0.046652,0.976926,1,0,0,0,0,0,0,0,0,0,0,No symptoms
53,-0.008182,1.117568,-0.024938,0.105215,0.028136,0.028565,-0.993641,-0.029725,0.671317,0.206136,0.254013,0.058562,0.036219,0.964747,0.128621,0.676713,0.158117,0.210827,0.006168,-0.046436,0.9764,1,0,0,0,0,0,0,0,0,0,0,No symptoms
54,-0.00729,1.117244,-0.024783,0.104736,0.027091,0.030996,-0.993648,-0.029708,0.670881,0.206618,0.253279,0.058592,0.035651,0.964959,0.129888,0.677206,0.158759,0.208861,0.007764,-0.046438,0.976811,1,0,0,0,0,0,0,0,0,0,0,No symptoms
55,-0.00688,1.116653,-0.024468,0.102434,0.025776,0.032016,-0.99389,-0.029784,0.6685,0.207211,0.254051,0.058279,0.035808,0.964769,0.129614,0.677263,0.158516,0.208636,0.00731,-0.046687,0.976851,0,0,0,0,0,0,0,1,0,0,0,No symptoms
56,-0.007583,1.116228,-0.023081,0.099236,0.026972,0.031426,-0.994202,-0.029804,0.669201,0.207193,0.253834,0.058868,0.035181,0.964814,0.129587,0.677146,0.158761,0.208811,0.007133,-0.046716,0.976814,0,0,0,0,0,0,0,1,0,0,0,No symptoms
